Id,SalePrice
1461,125000
1462,181900
1463,185000
1464,185000
1465,189000
1466,174000
1467,173000
1468,180000
1469,173000
1470,129000
1471,181000
1472,89500
1473,112000
1474,155000
1475,91000
1476,335000
1477,256300
1478,274900
1479,315000
1480,386250
1481,280000
1482,202500
1483,169990
1484,160200
1485,184100
1486,183500
1487,336000
1488,250000
1489,208300
1490,254900
1491,173000
1492,76000
1493,175000
1494,290000
1495,260000
1496,328900
1497,185000
1498,151000
1499,151000
1500,147400
1501,168500
1502,148800
1503,394432
1504,216000
1505,189000
1506,162900
1507,236000
1508,190000
1509,152000
1510,143000
1511,140000
1512,167000
1513,158000
1514,139000
1515,140000
1516,97500
1517,118000
1518,124000
1519,213000
1520,148000
1521,135000
1522,157500
1523,135000
1524,120000
1525,123000
1526,134500
1527,110000
1528,129900
1529,155000
1530,180000
1531,153000
1532,55000
1533,159000
1534,137500
1535,152000
1536,135000
1537,35311
1538,189950
1539,140000
1540,122000
1541,125500
1542,140000
1543,259500
1544,68500
1545,119000
1546,131000
1547,155000
1548,117000
1549,125000
1550,113000
1551,113000
1552,155000
1553,127000
1554,114504
1555,143000
1556,78000
1557,102000
1558,110000
1559,87000
1560,139000
1561,136500
1562,130000
1563,137000
1564,146000
1565,172500
1566,190000
1567,76000
1568,211000
1569,139000
1570,119000
1571,105000
1572,120000
1573,224000
1574,160000
1575,228500
1576,215000
1577,194500
1578,135000
1579,138000
1580,188000
1581,128500
1582,122000
1583,270000
1584,236000
1585,140000
1586,86000
1587,112000
1588,137500
1589,82500
1590,125000
1591,100000
1592,109900
1593,105000
1594,100000
1595,113000
1596,268000
1597,239000
1598,177000
1599,189000
1600,189000
1601,35311
1602,109000
1603,82000
1604,275000
1605,215000
1606,171500
1607,150900
1608,230000
1609,186000
1610,167500
1611,168000
1612,145000
1613,179000
1614,91000
1615,75500
1616,88000
1617,83500
1618,130500
1619,131000
1620,139000
1621,145000
1622,158000
1623,196000
1624,210000
1625,123000
1626,205000
1627,185000
1628,354000
1629,168500
1630,286000
1631,188000
1632,236500
1633,180000
1634,192000
1635,174000
1636,163900
1637,190000
1638,195000
1639,157000
1640,250000
1641,157000
1642,216000
1643,189000
1644,307000
1645,197900
1646,170000
1647,162000
1648,140000
1649,138800
1650,129900
1651,129000
1652,100000
1653,100000
1654,155000
1655,127500
1656,146000
1657,146000
1658,146000
1659,91000
1660,142000
1661,485000
1662,325624
1663,335000
1664,451950
1665,335000
1666,326000
1667,383970
1668,395192
1669,315500
1670,315000
1671,280000
1672,315000
1673,309000
1674,250000
1675,185850
1676,185850
1677,207000
1678,385000
1679,315000
1680,318061
1681,318061
1682,312500
1683,171750
1684,180000
1685,174000
1686,160200
1687,180000
1688,183500
1689,183500
1690,183200
1691,183200
1692,214900
1693,184100
1694,173000
1695,170000
1696,225000
1697,180000
1698,315000
1699,312500
1700,348000
1701,325000
1702,248328
1703,250000
1704,306000
1705,265900
1706,466500
1707,182000
1708,210000
1709,245000
1710,209500
1711,255000
1712,287090
1713,232000
1714,185000
1715,216000
1716,179900
1717,184900
1718,84500
1719,233000
1720,190000
1721,142500
1722,84500
1723,155000
1724,244600
1725,239500
1726,201000
1727,153900
1728,175900
1729,175900
1730,112000
1731,129500
1732,125000
1733,115000
1734,129500
1735,130500
1736,129000
1737,385000
1738,280000
1739,315000
1740,202500
1741,230000
1742,168500
1743,183900
1744,385000
1745,225000
1746,187000
1747,197900
1748,240000
1749,196500
1750,152000
1751,272000
1752,100000
1753,98600
1754,205000
1755,143000
1756,129000
1757,127000
1758,166000
1759,180000
1760,159000
1761,167500
1762,176000
1763,158000
1764,137000
1765,135000
1766,157000
1767,226000
1768,135000
1769,159000
1770,139000
1771,135000
1772,150000
1773,135000
1774,135000
1775,135000
1776,111250
1777,110000
1778,147000
1779,120000
1780,243000
1781,119000
1782,91300
1783,132000
1784,134900
1785,135000
1786,135000
1787,143000
1788,80500
1789,116900
1790,86000
1791,250000
1792,157900
1793,115000
1794,130500
1795,128900
1796,135000
1797,129000
1798,133700
1799,113000
1800,141000
1801,135000
1802,110000
1803,155000
1804,165500
1805,155000
1806,125000
1807,137000
1808,110000
1809,114504
1810,210000
1811,55000
1812,87000
1813,140000
1814,113000
1815,68500
1816,116000
1817,107400
1818,152000
1819,161000
1820,37900
1821,98000
1822,105000
1823,55000
1824,113000
1825,120000
1826,116000
1827,107900
1828,127500
1829,87000
1830,177000
1831,163000
1832,107500
1833,135000
1834,161000
1835,135900
1836,125000
1837,61000
1838,119000
1839,91300
1840,179000
1841,179000
1842,91500
1843,135000
1844,125000
1845,135000
1846,163000
1847,139000
1848,80500
1849,115000
1850,135000
1851,140000
1852,125000
1853,170000
1854,147000
1855,155000
1856,215000
1857,112000
1858,142953
1859,118858
1860,153337
1861,118858
1862,320000
1863,179000
1864,179000
1865,297000
1866,297000
1867,295493
1868,297000
1869,194500
1870,179900
1871,297000
1872,176432
1873,260000
1874,138000
1875,177000
1876,211000
1877,227000
1878,231500
1879,128200
1880,128200
1881,230000
1882,237000
1883,195000
1884,196500
1885,204000
1886,312500
1887,210000
1888,295493
1889,174000
1890,127000
1891,148000
1892,94750
1893,139000
1894,118000
1895,115000
1896,119000
1897,100000
1898,87000
1899,189950
1900,110000
1901,160000
1902,135000
1903,239000
1904,105000
1905,167000
1906,140000
1907,197000
1908,151000
1909,151000
1910,151000
1911,178000
1912,315000
1913,140000
1914,68500
1915,275000
1916,60000
1917,196000
1918,143000
1919,160000
1920,119500
1921,451950
1922,320000
1923,194500
1924,187500
1925,225000
1926,320000
1927,130000
1928,172000
1929,124500
1930,143000
1931,137000
1932,145000
1933,145000
1934,175000
1935,187500
1936,192000
1937,187500
1938,173000
1939,236500
1940,189000
1941,181000
1942,173000
1943,189000
1944,283463
1945,374000
1946,168000
1947,392000
1948,185000
1949,202500
1950,175000
1951,229000
1952,228000
1953,190000
1954,210000
1955,154000
1956,250000
1957,152000
1958,290000
1959,136000
1960,110000
1961,123000
1962,83000
1963,83000
1964,112000
1965,155000
1966,146000
1967,318000
1968,386250
1969,315000
1970,315000
1971,386250
1972,315000
1973,335000
1974,309000
1975,374000
1976,230000
1977,354000
1978,325300
1979,367294
1980,202500
1981,367294
1982,254000
1983,254000
1984,175500
1985,192000
1986,234000
1987,159895
1988,180000
1989,183500
1990,222500
1991,207500
1992,179000
1993,180000
1994,236000
1995,175000
1996,258000
1997,290000
1998,340000
1999,268000
2000,290000
2001,290000
2002,232000
2003,255000
2004,311872
2005,232600
2006,181134
2007,232000
2008,229456
2009,216000
2010,173000
2011,141000
2012,179900
2013,175900
2014,187000
2015,187000
2016,216000
2017,187000
2018,131400
2019,142000
2020,129000
2021,127000
2022,187500
2023,206900
2024,290000
2025,341000
2026,196000
2027,151000
2028,146000
2029,179400
2030,277500
2031,192000
2032,286000
2033,277500
2034,160000
2035,179000
2036,177000
2037,177000
2038,310000
2039,270000
2040,294000
2041,325000
2042,179000
2043,170000
2044,181000
2045,197900
2046,136905
2047,135000
2048,127000
2049,142600
2050,152000
2051,133700
2052,160000
2053,135000
2054,108000
2055,143000
2056,132500
2057,133700
2058,294000
2059,139000
2060,154000
2061,153000
2062,141000
2063,110000
2064,148500
2065,119000
2066,149900
2067,112000
2068,137000
2069,80500
2070,125000
2071,105900
2072,153900
2073,142000
2074,160000
2075,139000
2076,123000
2077,141000
2078,135000
2079,141500
2080,110000
2081,135000
2082,141000
2083,140000
2084,110000
2085,115000
2086,126000
2087,120000
2088,98000
2089,113000
2090,110000
2091,137000
2092,112000
2093,87000
2094,116000
2095,140000
2096,113000
2097,110000
2098,122900
2099,35311
2100,67000
2101,137000
2102,119000
2103,110000
2104,90000
2105,113000
2106,93000
2107,240000
2108,128500
2109,107900
2110,120000
2111,139400
2112,127000
2113,127000
2114,127000
2115,133000
2116,100000
2117,153575
2118,66500
2119,115000
2120,120000
2121,100000
2122,120000
2123,93000
2124,90000
2125,124500
2126,140000
2127,139000
2128,109500
2129,105900
2130,135000
2131,177000
2132,112000
2133,125500
2134,139000
2135,108000
2136,55000
2137,125000
2138,148000
2139,125000
2140,130000
2141,171000
2142,122000
2143,142500
2144,131500
2145,142000
2146,170000
2147,129000
2148,170000
2149,130000
2150,171000
2151,116900
2152,84500
2153,119000
2154,100000
2155,142000
2156,200000
2157,236000
2158,239500
2159,239500
2160,200141
2161,279500
2162,297000
2163,395192
2164,187500
2165,190000
2166,145000
2167,208900
2168,231500
2169,195000
2170,200000
2171,146000
2172,125000
2173,180000
2174,192500
2175,237000
2176,312500
2177,195000
2178,213000
2179,143000
2180,204750
2181,185000
2182,179900
2183,181134
2184,140000
2185,128500
2186,159500
2187,125000
2188,149500
2189,250000
2190,82000
2191,82000
2192,84500
2193,86000
2194,100000
2195,118500
2196,83000
2197,127000
2198,120000
2199,159000
2200,139000
2201,139000
2202,189950
2203,135000
2204,137450
2205,87000
2206,120000
2207,188700
2208,184000
2209,185000
2210,135960
2211,130000
2212,109000
2213,135000
2214,140000
2215,105000
2216,152000
2217,82000
2218,78000
2219,78000
2220,93000
2221,275000
2222,275000
2223,271000
2224,215000
2225,126000
2226,170000
2227,228500
2228,315500
2229,239000
2230,167500
2231,197000
2232,171000
2233,175000
2234,203000
2235,200000
2236,239000
2237,319000
2238,153500
2239,147000
2240,162000
2241,110000
2242,129900
2243,127000
2244,91000
2245,91000
2246,138800
2247,75500
2248,124500
2249,119500
2250,119500
2251,122000
2252,207500
2253,180000
2254,163900
2255,173000
2256,162000
2257,179000
2258,173000
2259,178000
2260,160000
2261,170000
2262,187500
2263,325000
2264,501837
2265,129000
2266,277500
2267,260000
2268,385000
2269,140000
2270,179900
2271,157000
2272,197500
2273,170000
2274,143000
2275,175000
2276,170000
2277,240000
2278,140000
2279,100000
2280,115000
2281,181000
2282,181000
2283,83000
2284,118000
2285,91000
2286,129500
2287,394617
2288,250000
2289,440000
2290,385000
2291,325000
2292,315000
2293,386250
2294,280000
2295,385000
2296,146000
2297,310000
2298,335000
2299,354000
2300,280000
2301,325624
2302,221500
